Instruction,Output
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Incorporating this fabrication technique and optimizing the active region design, researchers were able to achieve operation of a 1 THz QCL at 154 K in pulsed mode and 104 K in cw mode.","154 K, 104 K"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We demonstrated the successful operation of terahertz quantum cascade lasers emitting at 3.4 THz using a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design.",3.4 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: An emission spectrum of 3 to 4.7 THz is emitted by the THz QCLs being researched.		",3 to 4.7 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL can be used in pulsed-mode up to a heat-sink temperature of 180 K, delivering a frequency of 3.5 THz, making it a breakthrough in the field of THz technology.",3.5 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a fourteen-well GaAs/Al0.4Ga0.6As structure.",GaAs/Al0.4Ga0.6As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A Winston cone with an opening diameter of 1.90 mm was used to collect light from a single facet, resulting in a measurement of 0.5 mW of maximum continuous wave power. The measurement was taken using a thermopile detector (ScienTech, model AC2500), which was positioned next to the cryostat window.		",0.5 mW
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The device reached a maximum heatsink temperature of 110 K when operating in a pulsed manner.		",110 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In cw operation, this device lased up to Tmax=45K.",45 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In pulsed operation, the device lased up to a maximum heatsink temperature (Tmax) of 80 K.",80 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 87 K, the threshold current-density was measured as ~932 A/cm2 with a peak-power output of ~15 mW.",15 Mw
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The 4-well module was grown through molecular beam epitaxy (MBE) in the GaAs/Al 0.15Ga0.85As material system, resulting in a resonant-phonon laser with an active region composed of 178 recurring periods.",resonant-phonon
